Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),example.com,Amazon Route 53,0,130.5,1566.00,USD,Hosted Zones (1)
My Estimate,US East (N. Virginia),Web Load Balancer,Elastic Load Balancing,0,136.43,1637.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),App Instances,Amazon EC2,0,822.700322,9872.40,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (50 GB), Snapshot Frequency (Daily), Amount changed per snapshot (3 GB), DT Inbound: Not selected (0 TB per month) 
, DT Outbound: Internet (4500 GB per month) 
, DT Intra-Region: (0 GB per month) 
, Workload (Daily, (Workload days: Monday, Tuesday, Wednesday, Thursday, Friday, Baseline: 2, Peak: 4, Duration of peak: 8 Hr 30 Min)), Advance EC2 instance (m6g.2xlarge), Pricing strategy (EC2 Instance Savings Plans 1yr No Upfront)"
My Estimate,US East (N. Virginia),Web Instances,Amazon EC2,0,1797.1659799999998,21565.99,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (50 GB), Snapshot Frequency (Daily), Amount changed per snapshot (3 GB), DT Inbound: Not selected (0 TB per month) 
, DT Outbound: Internet (15000 GB per month) 
, DT Intra-Region: (0 GB per month) 
, Workload (Daily, (Workload days: Monday, Tuesday, Wednesday, Thursday, Friday, Baseline: 2, Peak: 6, Duration of peak: 8 Hr 30 Min)), Advance EC2 instance (t4g.2xlarge), Pricing strategy (EC2 Instance Savings Plans 1yr No Upfront)"
My Estimate,US East (N. Virginia),RDS,Amazon Aurora MySQL-Compatible,0,1129.4899999999998,13553.88,USD,"Change records per statement (0.38), Nodes (1), Instance Type (db.r4.4xlarge), Instance Family (Memory optimized), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront), Storage amount (51 GB), Additional backup storage (51 GB)"
My Estimate,US East (N. Virginia),VPC,Amazon Virtual Private Cloud (VPC),0,707.85,8494.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),User Content,S3 Intelligent - Tiering,0,2385.75,28629.00,USD,S3 INT storage (150000 GB per month)
My Estimate,US East (N. Virginia),User Content,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month) 
, DT Outbound: Not selected (0 TB per month) 
"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
